block_id,txin_id,out_block_id
7743,8222,6542
7743,8206,6544
7743,8191,6545
6736,7139,6546
6821,7247,6556
7743,8210,6577
7743,8234,6578
11571,12245,6584
6821,7243,6586
11571,12229,6594
6736,7156,6607
7743,8188,6614
8294,8819,6633
7280,7716,6647
7280,7721,6652
11571,12247,6665
7743,8201,6679
7743,8197,6685
8294,8822,6704
7230,7659,6714
7280,7711,6715
7230,7658,6719
7280,7714,6733
7280,7715,6734
7743,8196,6738
11571,12225,6741
7743,8230,6757
7743,8212,6759
7743,8214,6766
8294,8821,6778
7743,8225,6783
7743,8187,6787
6736,7138,6821
6736,7144,6821
7743,8220,6822
7743,8215,6825
7280,7717,6835
7230,7660,6850
7280,7718,6855
7280,7712,6868
8294,8820,6872
7743,8218,6877
7743,8213,6883
7743,8219,6914
7743,8224,6933
7743,8192,6938
7743,8216,6959
7280,7713,6972
7743,8204,7003
7743,8217,7006
7280,7720,7013
7280,7719,7015
7280,7723,7020
7743,8228,7071
7743,8223,7083
7911,8414,7095
7743,8190,7108
7743,8209,7151
7743,8195,7155
7743,8208,7163
7743,8226,7166
7743,8194,7175
7743,8232,7179
7911,8412,7208
7280,7722,7230
11571,12231,7239
7911,8410,7243
7743,8231,7258
7911,8408,7290
11571,12254,7294
7911,8415,7324
7911,8404,7332
11571,12227,7450
7911,8413,7462
7911,8416,7500
11571,12232,7523
7911,8411,7599
7911,8407,7635
7911,8409,7648
8116,8628,7685
7911,8403,7704
11571,12256,7710
8116,8622,7717
11571,12255,7758
8116,8633,7766
7911,8406,7794
7911,8405,7796
8116,8624,7814
8116,8623,7853
8116,8625,7855
8294,8815,7868
8116,8632,7870
8116,8626,7871
8116,8630,7893
8294,8814,7898
9401,9978,7903
8294,8813,7923
8294,8816,7929
8116,8631,7949
8116,8627,7951
8116,8629,7961
8294,8818,7981
8760,9303,8023
8760,9292,8059
8294,8817,8066
8760,9289,8085
8760,9293,8111
8760,9294,8118
8294,8812,8141
8760,9307,8150
11571,12257,8153
11571,12230,8155
8760,9295,8161
11571,12258,8165
11571,12234,8177
8760,9302,8199
8978,9552,8204
8978,9554,8206
8978,9536,8209
8978,9553,8212
8760,9309,8222
8978,9540,8233
8760,9304,8235
8760,9305,8237
8978,9543,8259
8760,9308,8262
8978,9547,8270
8760,9297,8273
8760,9299,8275
8760,9306,8282
8978,9549,8290
8760,9298,8292
8760,9300,8296
8978,9544,8313
8760,9296,8343
8978,9546,8347
8760,9312,8373
8760,9313,8394
8760,9311,8409
8760,9301,8429
8760,9314,8495
8978,9542,8505
8978,9545,8506
8978,9538,8508
8760,9310,8536
8760,9290,8582
8760,9291,8586
8978,9548,8607
8760,9316,8621
8760,9315,8633
11571,12236,8651
11571,12233,8658
8978,9535,8681
8978,9550,8688
9401,10004,8696
9401,9979,8706
11571,12261,8708
9401,10002,8751
8978,9551,8763
8978,9537,8765
9401,9981,8767
8978,9539,8802
9401,9982,8826
9401,9984,8843
9401,10001,8855
9401,9983,8864
8978,9541,8880
9401,9985,8882
11571,12243,8899
9401,9986,8900
10695,11333,8917
9401,9987,8940
9401,9991,8953
9401,9989,8955
10695,11330,8956
9401,9988,8957
9401,9993,8965
9401,9990,8972
9401,9980,8989
9401,9992,9032
9401,10005,9061
11571,12265,9076
10695,11328,9090
9975,10589,9092
9401,10003,9093
9401,10007,9105
11571,12262,9115
9975,10595,9128
9975,10585,9164
9401,10006,9165
9975,10588,9182
9401,9994,9188
9401,9996,9196
9401,9997,9198
9401,9998,9210
9401,10008,9211
9975,10584,9213
11720,12478,9238
9401,9995,9240
9401,9999,9246
9401,10009,9253
11720,12453,9263
11720,12464,9280
9401,10000,9287
11571,12260,9292
11720,12476,9298
11720,12457,9304
11720,12435,9312
11720,12439,9326
11571,12267,9330
11571,12240,9337
11720,12449,9368
9975,10590,9432
11571,12263,9439
9975,10599,9449
11720,12437,9464
9975,10587,9468
11720,12487,9497
11720,12450,9498
11571,12264,9525
9975,10598,9532
9975,10586,9557
11720,12423,9579
11720,12452,9581
11720,12440,9590
11720,12432,9620
11720,12484,9627
11720,12420,9643
9975,10591,9651
9975,10593,9655
9975,10596,9667
11720,12434,9680
11720,12436,9696
11720,12465,9709
11720,12471,9711
10695,11329,9750
11571,12268,9756
9975,10600,9757
11720,12468,9759
11720,12475,9767
9975,10594,9778
9975,10592,9782
11720,12429,9822
11720,12472,9828
11720,12428,9833
11720,12459,9837
11720,12461,9838
11720,12463,9852
11720,12469,9856
11720,12433,9879
9975,10597,9883
11720,12430,9914
11720,12442,9915
11720,12447,9919
11720,12481,9936
11571,12237,9949
11720,12419,9952
11720,12485,9953
11571,12269,9955
10695,11332,9960
11571,12266,9978
11720,12479,9983
10593,11224,10017
11571,12248,10029
11720,12438,10053
11720,12477,10093
11720,12424,10109
11720,12426,10137
10695,11331,10163
10593,11220,10180
10593,11225,10206
11720,12425,10220
11720,12422,10250
11720,12443,10271
11720,12454,10278
11720,12483,10279
11720,12474,10291
10593,11221,10306
11720,12480,10334
24858,26489,10336
11720,12446,10338
11720,12482,10354
10593,11223,10359
10593,11219,10381
10593,11222,10396
11720,12445,10402
11720,12451,10403
11720,12462,10423
11720,12455,10438
11571,12235,10469
28479,30775,10485
11569,12222,10488
11720,12460,10501
11720,12486,10519
11720,12473,10539
11569,12217,10540
11571,12249,10541
28479,30741,10545
11569,12220,10571
24858,26488,10572
10754,11394,10593
11720,12444,10597
11720,12431,10611
11569,12218,10625
10772,11413,10646
10754,11393,10695
11720,12488,10709
11569,12219,10733
11720,12467,10736
11571,12246,10760
11720,12466,10762
11720,12456,10801
28479,30697,10816
11569,12221,10817
11720,12448,10829
11569,12216,10834
24858,26536,10846
24858,26475,10855
11720,12441,10880
11720,12421,10881
11720,12458,10892
11720,12470,10908
11571,12228,10910
11571,12250,10931
28479,30789,10943
11720,12427,10952
11571,12252,10995
12346,13117,11030
11571,12244,11053
11409,12052,11147
11569,12215,11150
11571,12253,11168
11374,12016,11246
28479,30766,11259
28479,30715,11282
11571,12259,11310
28479,30728,11325
11742,12511,11334
11470,12114,11374
12346,13129,11378
11571,12251,11400
11571,12238,11444
16283,17228,11562
12346,13116,11607
17970,18978,11640
12658,13449,11658
13039,13852,11685
28479,30756,11688
12658,13458,11693
13039,13847,11697
12658,13461,11700
24858,26499,11724
12346,13123,11726
12658,13460,11730
13039,13857,11776
12658,13448,11812
12346,13126,11813
12658,13450,11859
12346,13120,11861
12658,13451,11913
12970,13775,11914
12346,13122,11919
12658,13455,11935
12346,13128,11940
12346,13125,11956
12346,13118,11965
13039,13856,11984
13039,13858,12000
12346,13121,12009
13039,13849,12012
12346,13119,12034
12346,13130,12079
12346,13127,12088
12346,13124,12092
12658,13446,12097
12658,13457,12107
12658,13454,12122
12658,13459,12138
12658,13452,12156
12658,13456,12159
12658,13447,12174
12658,13453,12196
28479,30737,12218
13039,13854,12303
28479,30830,12307
13039,13848,12317
28479,30827,12372
13039,13845,12397
12658,13445,12464
12658,13443,12466
12658,13462,12506
13039,13853,12535
28479,30767,12537
13356,14182,12542
13356,14183,12567
12658,13444,12593
13356,14184,12609
13356,14205,12615
13356,14186,12619
13039,13846,12640
13494,14349,12666
13356,14185,12667
13356,14180,12679
13356,14188,12734
